videoID,channelID,day,views
MN1xmITLv0Y,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,22
MN1xmITLv0Y,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,7
MN1xmITLv0Y,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,12
MN1xmITLv0Y,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,11
MN1xmITLv0Y,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,10
MN1xmITLv0Y,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,18
MN1xmITLv0Y,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-09,11
MN1xmITLv0Y,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-10,8
MN1xmITLv0Y,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-11,11
MN1xmITLv0Y,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-12,7
MN1xmITLv0Y,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-13,14
MN1xmITLv0Y,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-14,9
Y6iIutoaM-g,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-03,3
Y6iIutoaM-g,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-04,5
Y6iIutoaM-g,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-05,9
Y6iIutoaM-g,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-06,6
Y6iIutoaM-g,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-07,9
Y6iIutoaM-g,UC-9b7aDP6ZN0coj9-xFnrtw,2022-03-08,9
